,O_Rank,Team,O_Games_Played,O_Points_For,O_Total_Yards,O_Plays,O_Y/Play,O_TO,O_Fumbles_Lost,O_1st_D,O_P_Completions,O_P_Attempts,O_P_Yards,O_P_TD,O_P_Int,O_P_Y/PA,O_P_Passing_1st_D,O_R_Att,O_R_Yards,O_R_TD,O_R_Y/A,O_R_1st_D,O_Pe,O_Pe_Yards,O_Pe_1st_D,O_Scoring_Drives,O_TO_%,O_Expected_Points,Year,D_Rank,D_Games_Played,D_Points_Allowed,D_Total_Yards,D_Plays,D_Y/Play,D_TD,D_Fumbles_Lost,D_1st_D,D_P_Completions,D_P_Attempts,D_P_Yards,D_P_TD,D_P_Int,D_P_Y/PA,D_P_Passing_1st_D,D_R_Att,D_R_Yards,D_R_TD,D_R_Y/A,D_R_1st_D,D_Pe,D_Pe_Yards,D_Pe_1st_D,D_Scoring_Drives,D_TD_%,D_Expected_Points
0,1,Baltimore Ravens,14,580.9230769230769,7059.692307692308,1138.4615384615386,6.2,14.76923076923077,6.153846153846154,413.53846153846155,317.53846153846155,477.53846153846155,3576.6153846153848,41.84615384615385,8.615384615384615,7,190.76923076923077,630.1538461538462,3483.076923076923,23.384615384615383,5.5,193.23076923076923,118.15384615384616,962.4615384615385,29.53846153846154,64.12307692307692,7.5,285.3046153846154,2019,9,17.23076923076923,316.3076923076923,5415.384615384615,1006.7692307692307,5.4,27.076923076923077,12.307692307692308,306.46153846153845,355.6923076923077,598.1538461538462,3758.769230769231,16.0,14.76923076923077,5.9,182.15384615384616,366.7692307692308,1656.6153846153845,13.538461538461538,4.5,83.6923076923077,103.38461538461539,844.3076923076923,40.61538461538461,41.84615384615385,14.6,19.310769230769232
1,2,San Francisco 49ers,13,488.61538461538464,6217.846153846154,1041.2307692307693,6,23.384615384615383,9.846153846153847,343.38461538461536,338.46153846153845,486.15384615384613,3832.6153846153848,32.0,13.538461538461538,7.4,198.15384615384616,521.8461538461538,2385.230769230769,20.923076923076923,4.6,112.0,107.07692307692308,971.0769230769231,33.23076923076923,53.784615384615385,12.6,120.27076923076923,2019,3,16.0,281.84615384615387,4278.153846153846,942.7692307692307,4.5,30.76923076923077,17.23076923076923,263.38461538461536,296.61538461538464,484.9230769230769,2412.3076923076924,20.923076923076923,13.538461538461538,4.5,125.53846153846153,402.46153846153845,1865.8461538461538,8.615384615384615,4.6,110.76923076923077,114.46153846153847,968.6153846153846,27.076923076923077,32.86153846153846,16.4,130.2276923076923
2,3,Tampa Bay Buccaneers,13,465.2307692307692,6285.538461538462,1101.5384615384614,5.7,39.38461538461539,11.076923076923077,365.53846153846155,388.9230769230769,635.0769230769231,4771.692307692308,32.0,28.307692307692307,7,248.6153846153846,416.0,1513.8461538461538,17.23076923076923,3.6,83.6923076923077,130.46153846153845,1106.4615384615386,33.23076923076923,48.98461538461538,19.3,52.356923076923074,2019,31,16.0,468.9230769230769,5668.923076923077,1058.4615384615386,5.4,27.076923076923077,16.0,334.7692307692308,412.3076923076923,662.1538461538462,4461.538461538462,35.69230769230769,11.076923076923077,6.3,226.46153846153845,354.46153846153845,1207.3846153846155,9.846153846153847,3.4,67.6923076923077,123.07692307692308,1074.4615384615386,40.61538461538461,49.96923076923077,13.1,-28.849230769230772
3,4,Kansas City Chiefs,13,456.61538461538464,6107.076923076923,988.3076923076923,6.2,16.0,12.307692307692308,347.0769230769231,384.0,595.6923076923077,4619.076923076923,30.76923076923077,3.6923076923076925,7.4,214.15384615384616,366.7692307692308,1488.0,16.0,4.1,87.38461538461539,108.3076923076923,1075.6923076923076,45.53846153846154,58.83076923076923,8,175.93846153846152,2019,14,16.0,345.84615384615387,5837.538461538462,1049.8461538461538,5.6,24.615384615384617,8.615384615384615,352.0,350.7692307692308,568.6153846153846,3634.4615384615386,23.384615384615383,16.0,5.9,194.46153846153845,435.6923076923077,2203.076923076923,16.0,5.1,119.38461538461539,115.6923076923077,839.3846153846154,38.15384615384615,45.16923076923077,13.7,-71.0276923076923
4,5,New Orleans Saints,13,423.38461538461536,5910.153846153846,1003.0769230769231,5.9,9.846153846153847,2.4615384615384617,334.7692307692308,419.6923076923077,590.7692307692307,4182.153846153846,32.0,7.384615384615385,6.8,221.53846153846155,386.46153846153845,1728.0,9.846153846153847,4.5,97.23076923076923,123.07692307692308,1070.7692307692307,16.0,56.61538461538461,5.1,136.44307692307692,2019,17,16.0,364.3076923076923,5412.923076923077,1009.2307692307693,5.4,23.384615384615383,9.846153846153847,322.46153846153845,381.53846153846155,606.7692307692307,3905.230769230769,29.53846153846154,13.538461538461538,5.9,203.07692307692307,349.53846153846155,1507.6923076923076,11.076923076923077,4.3,73.84615384615384,91.07692307692308,681.8461538461538,45.53846153846154,47.50769230769231,12.9,-63.58153846153846
5,6,Seattle Seahawks,13,419.6923076923077,6142.7692307692305,1053.5384615384614,5.8,22.153846153846153,16.0,344.61538461538464,344.61538461538464,515.6923076923077,3890.4615384615386,32.0,6.153846153846154,6.9,190.76923076923077,488.61538461538464,2252.3076923076924,14.76923076923077,4.6,124.3076923076923,113.23076923076923,932.9230769230769,29.53846153846154,45.41538461538461,12.1,62.63384615384616,2019,21,16.0,395.0769230769231,6008.615384615385,1015.3846153846154,5.9,35.69230769230769,19.692307692307693,343.38461538461536,400.0,624.0,4338.461538461538,20.923076923076923,16.0,6.7,228.92307692307693,363.0769230769231,1670.1538461538462,18.46153846153846,4.6,84.92307692307692,99.6923076923077,835.6923076923077,29.53846153846154,43.815384615384616,17.8,-51.864615384615384
6,7,Minnesota Vikings,13,417.2307692307692,5997.538461538462,994.4615384615385,6,18.46153846153846,13.538461538461538,338.46153846153845,334.7692307692308,477.53846153846155,3825.230769230769,29.53846153846154,4.923076923076923,7.6,183.3846153846154,488.61538461538464,2172.3076923076924,19.692307692307693,4.4,113.23076923076923,104.61538461538461,964.9230769230769,41.84615384615385,50.95384615384615,9.3,166.32615384615383,2019,6,16.0,306.46153846153845,5415.384615384615,1036.3076923076924,5.2,24.615384615384617,8.615384615384615,321.2307692307692,386.46153846153845,596.9230769230769,3785.846153846154,27.076923076923077,16.0,5.9,214.15384615384616,392.61538461538464,1629.5384615384614,6.153846153846154,4.2,70.15384615384616,89.84615384615384,752.0,36.92307692307692,42.46153846153846,14.4,-35.753846153846155
7,8,New England Patriots,13,416.0,5670.153846153846,1116.3076923076924,5.1,14.76923076923077,4.923076923076923,342.15384615384613,395.0769230769231,651.0769230769231,4131.692307692308,24.615384615384617,9.846153846153847,6.1,210.46153846153845,434.46153846153845,1538.4615384615386,17.23076923076923,3.5,100.92307692307692,99.6923076923077,878.7692307692307,30.76923076923077,42.83076923076923,7,30.572307692307692,2019,1,16.0,206.76923076923077,4236.307692307692,940.3076923076923,4.5,38.15384615384615,12.307692307692308,248.6153846153846,300.3076923076923,535.3846153846154,2748.3076923076924,11.076923076923077,25.846153846153847,4.7,140.30769230769232,354.46153846153845,1488.0,7.384615384615385,4.2,66.46153846153847,112.0,1001.8461538461538,41.84615384615385,20.553846153846152,17.9,209.21846153846155
8,9,Dallas Cowboys,13,411.0769230769231,6893.538461538462,1067.076923076923,6.5,19.692307692307693,6.153846153846154,388.9230769230769,400.0,611.6923076923077,4908.307692307692,29.53846153846154,13.538461538461538,7.7,241.23076923076923,433.2307692307692,1985.2307692307693,17.23076923076923,4.6,112.0,114.46153846153847,1096.6153846153845,35.69230769230769,51.323076923076925,11.5,216.01230769230767,2019,12,16.0,328.61538461538464,5219.692307692308,1005.5384615384615,5.2,17.23076923076923,11.076923076923077,329.84615384615387,353.2307692307692,541.5384615384615,3462.153846153846,20.923076923076923,6.153846153846154,5.9,178.46153846153845,422.15384615384613,1757.5384615384614,14.76923076923077,4.2,110.76923076923077,112.0,967.3846153846154,40.61538461538461,45.16923076923077,10.1,-57.76
9,10,Tennessee Titans,13,391.38461538461536,5549.538461538462,940.3076923076923,5.9,18.46153846153846,9.846153846153847,308.9230769230769,300.3076923076923,446.7692307692308,3499.076923076923,27.076923076923077,8.615384615384615,6.9,172.30769230769232,433.2307692307692,2050.4615384615386,19.692307692307693,4.7,98.46153846153847,103.38461538461539,995.6923076923077,38.15384615384615,37.53846153846154,9.3,72.08615384615385,2019,8,16.0,313.84615384615387,5784.615384615385,1060.923076923077,5.5,24.615384615384617,11.076923076923077,331.0769230769231,391.38461538461536,609.2307692307693,4158.7692307692305,24.615384615384617,13.538461538461538,6.4,214.15384615384616,408.61538461538464,1625.8461538461538,11.076923076923077,4,88.61538461538461,128.0,1099.076923076923,28.307692307692307,38.15384615384615,12.3,-5.821538461538462
10,11,Houston Texans,13,390.15384615384613,6016.0,1016.6153846153846,5.9,20.923076923076923,8.615384615384615,354.46153846153845,364.3076923076923,540.3076923076923,3933.5384615384614,30.76923076923077,12.307692307692308,6.7,212.92307692307693,428.3076923076923,2082.4615384615386,16.0,4.9,109.53846153846153,119.38461538461539,978.4615384615385,32.0,48.861538461538466,11.8,140.36923076923077,2019,19,16.0,380.3076923076923,6004.923076923077,1010.4615384615385,5.9,19.692307692307693,11.076923076923077,342.15384615384613,386.46153846153845,590.7692307692307,4253.538461538462,34.46153846153846,8.615384615384615,6.8,220.30769230769232,387.6923076923077,1751.3846153846155,8.615384615384615,4.5,91.07692307692308,115.6923076923077,919.3846153846154,30.76923076923077,49.23076923076923,11.9,-128.88615384615383
